Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-07-28 01:56:16.177191,Step[43],0.639311,0.628125,0.371875,5.23e-05
2024-07-28 01:57:00.843658,Step[44],0.643771,0.608128,0.391872,5.23e-05
2024-07-28 01:57:45.370366,Step[45],0.616413,0.607631,0.392369,5.23e-05
2024-07-28 01:58:30.463393,Step[46],0.603814,0.588175,0.411825,5.23e-05
2024-07-28 01:59:15.032809,Step[47],0.631656,0.589136,0.410864,5.23e-05
2024-07-28 01:59:59.535613,Step[48],0.609671,0.586369,0.413631,5.23e-05
2024-07-28 02:00:44.623698,Step[49],0.631524,0.539970,0.460030,5.23e-05
2024-07-28 02:01:29.109065,Step[50],0.590812,0.583254,0.416746,5.23e-05
2024-07-28 02:02:13.862827,Step[51],0.575226,0.570222,0.429778,5.23e-05
2024-07-28 02:02:58.442251,Step[52],0.573963,0.523651,0.476349,5.23e-05
2024-07-28 02:03:42.975709,Step[53],0.563296,0.497513,0.502487,5.23e-05
2024-07-28 02:04:28.244053,Step[54],0.527988,0.495984,0.504016,5.23e-05
2024-07-28 02:05:12.722487,Step[55],0.557092,0.533000,0.467000,5.23e-05
2024-07-28 02:05:57.118040,Step[56],0.589614,0.561812,0.438188,5.23e-05
2024-07-28 02:06:41.904834,Step[57],0.581642,0.606828,0.393172,5.23e-05
2024-07-28 02:07:26.236513,Step[58],0.542552,0.529226,0.470774,5.23e-05
2024-07-28 02:08:11.124790,Step[59],0.551354,0.509373,0.490627,4.707e-05
2024-07-28 02:08:55.716041,Step[60],0.551831,0.540447,0.459553,4.707e-05
2024-07-28 02:09:40.007928,Step[61],0.556101,0.471477,0.528523,4.707e-05
2024-07-28 02:10:25.217305,Step[62],0.532502,0.507583,0.492417,4.707e-05
2024-07-28 02:11:09.606252,Step[63],0.542972,0.595644,0.404356,4.707e-05
2024-07-28 02:11:53.987872,Step[64],0.529476,0.522917,0.477083,4.707e-05
2024-07-28 02:12:39.049338,Step[65],0.516402,0.531851,0.468149,4.707e-05
2024-07-28 02:13:23.363488,Step[66],0.504804,0.416262,0.583738,4.2363e-05
2024-07-28 02:14:08.157912,Step[67],0.510472,0.472392,0.527608,4.2363e-05
2024-07-28 02:14:52.777802,Step[68],0.534772,0.405479,0.594521,4.2363e-05
2024-07-28 02:15:37.231783,Step[69],0.499939,0.422158,0.577842,4.2363e-05
2024-07-28 02:16:22.032376,Step[70],0.472235,0.448934,0.551066,4.2363e-05
2024-07-28 02:17:06.368105,Step[71],0.488728,0.489762,0.510238,4.2363e-05
2024-07-28 02:17:50.742128,Step[72],0.508753,0.417808,0.582192,4.2363e-05
2024-07-28 02:18:35.892058,Step[73],0.478488,0.407523,0.592477,3.81267e-05
2024-07-28 02:19:20.234509,Step[74],0.463727,0.464081,0.535919,3.81267e-05
2024-07-28 02:20:04.767982,Step[75],0.492028,0.398095,0.601905,3.81267e-05
2024-07-28 02:20:49.751761,Step[76],0.496320,0.486013,0.513987,3.81267e-05
2024-07-28 02:21:34.026898,Step[77],0.483909,0.456653,0.543347,3.81267e-05
2024-07-28 02:22:19.048466,Step[78],0.475489,0.411106,0.588894,3.81267e-05
2024-07-28 02:23:03.443208,Step[79],0.472411,0.430953,0.569047,3.81267e-05
2024-07-28 02:23:47.765258,Step[80],0.463237,0.451583,0.548417,3.4314030000000006e-05
2024-07-28 02:24:32.483995,Step[81],0.504132,0.554094,0.445906,3.4314030000000006e-05
2024-07-28 02:25:16.774035,Step[82],0.541006,0.460111,0.539889,3.4314030000000006e-05
2024-07-28 02:26:01.324271,Step[83],0.494523,0.377684,0.622316,3.4314030000000006e-05
2024-07-28 02:26:46.423126,Step[84],0.469855,0.479270,0.520730,3.4314030000000006e-05
2024-07-28 02:27:30.749394,Step[85],0.449152,0.451611,0.548389,3.4314030000000006e-05
2024-07-28 02:28:15.658414,Step[86],0.459040,0.404819,0.595181,3.4314030000000006e-05
2024-07-28 02:29:00.149246,Step[87],0.474459,0.472099,0.527901,3.4314030000000006e-05
2024-07-28 02:29:44.507963,Step[88],0.449384,0.459580,0.540420,3.088262700000001e-05
2024-07-28 02:30:29.588488,Step[89],0.463603,0.404675,0.595325,3.088262700000001e-05
2024-07-28 02:31:13.961557,Step[90],0.445490,0.391590,0.608410,3.088262700000001e-05
2024-07-28 02:31:58.361086,Step[91],0.430507,0.389584,0.610416,3.088262700000001e-05
2024-07-28 02:32:43.064218,Step[92],0.452834,0.392344,0.607656,2.779436430000001e-05
2024-07-28 02:33:27.388010,Step[93],0.420981,0.420918,0.579082,2.779436430000001e-05
2024-07-28 02:34:12.126508,Step[94],0.429236,0.475735,0.524265,2.779436430000001e-05
2024-07-28 02:34:56.624576,Step[95],0.420650,0.437057,0.562943,2.779436430000001e-05
2024-07-28 02:35:42.145145,Step[96],0.429582,0.380077,0.619923,2.501492787000001e-05
2024-07-28 02:36:26.986580,Step[97],0.454978,0.389065,0.610935,2.501492787000001e-05
2024-07-28 02:37:11.310116,Step[98],0.437139,0.398229,0.601771,2.501492787000001e-05
2024-07-28 02:37:55.716648,Step[99],0.428306,0.395032,0.604968,2.501492787000001e-05
2024-07-28 02:38:40.727673,Step[100],0.442382,0.439951,0.560049,2.251343508300001e-05
2024-07-28 02:39:25.046720,Step[101],0.406630,0.370415,0.629585,2.251343508300001e-05
